landlord评估结果
==================================================
步数	地主胜率	地主ADP	农民胜率	农民ADP
0	0.0029	0.9971	-2.4472	2.4472
7062400	0.1540	0.8460	-1.7970	1.7970
14121600	0.1703	0.8297	-1.7252	1.7252
21177600	0.1779	0.8221	-1.6870	1.6870
28233600	0.2031	0.7969	-1.5500	1.5500
35280000	0.2128	0.7872	-1.4902	1.4902
42336000	0.2249	0.7751	-1.4302	1.4302
49388800	0.2390	0.7610	-1.3138	1.3138
56438400	0.2417	0.7583	-1.2992	1.2992
63484800	0.2491	0.7509	-1.2766	1.2766
70540800	0.2596	0.7404	-1.2136	1.2136
77590400	0.2634	0.7366	-1.1794	1.1794
84640000	0.2654	0.7346	-1.1684	1.1684
91689600	0.2673	0.7327	-1.1368	1.1368
98739200	0.2731	0.7269	-1.1156	1.1156
105792000	0.2584	0.7416	-1.1602	1.1602
112841600	0.2878	0.7122	-1.0428	1.0428
119894400	0.2810	0.7190	-1.0660	1.0660
126947200	0.2893	0.7107	-1.0194	1.0194
134003200	0.2946	0.7054	-0.9938	0.9938
141049600	0.2989	0.7011	-0.9878	0.9878
148089600	0.3004	0.6996	-0.9494	0.9494
155132800	0.2927	0.7073	-0.9962	0.9962
162172800	0.3055	0.6945	-0.9180	0.9180
169209600	0.2971	0.7029	-0.9754	0.9754
176252800	0.3073	0.6927	-0.9112	0.9112
183292800	0.3084	0.6916	-0.9070	0.9070
190339200	0.3186	0.6814	-0.8606	0.8606
197379200	0.3121	0.6879	-0.8856	0.8856
204422400	0.3204	0.6796	-0.8466	0.8466
211468800	0.3120	0.6880	-0.8864	0.8864
218512000	0.3177	0.6823	-0.8684	0.8684
225555200	0.3228	0.6772	-0.8228	0.8228
232598400	0.3244	0.6756	-0.8166	0.8166
239635200	0.3223	0.6777	-0.8284	0.8284
246684800	0.3288	0.6712	-0.7972	0.7972
253718400	0.3267	0.6733	-0.8060	0.8060
260768000	0.3378	0.6622	-0.7564	0.7564
267817600	0.3266	0.6734	-0.7924	0.7924
274854400	0.3466	0.6534	-0.7408	0.7408
281894400	0.3444	0.6556	-0.7312	0.7312
288944000	0.3456	0.6544	-0.7198	0.7198
295984000	0.3450	0.6550	-0.7190	0.7190
303030400	0.3495	0.6505	-0.6966	0.6966
310076800	0.3464	0.6536	-0.7238	0.7238
317126400	0.3497	0.6503	-0.7014	0.7014
324182400	0.3490	0.6510	-0.7062	0.7062
