landlord_up评估结果
==================================================
步数	地主胜率	农民胜率	地主ADP	农民ADP
0	0.9558	0.0442	2.9666	-2.9666
7062400	0.8230	0.1770	1.8774	-1.8774
14121600	0.8080	0.1920	1.7842	-1.7842
21177600	0.7942	0.2058	1.6798	-1.6798
28233600	0.7482	0.2518	1.4186	-1.4186
35280000	0.7290	0.2710	1.3862	-1.3862
42336000	0.6968	0.3032	1.2848	-1.2848
49388800	0.6787	0.3213	1.2326	-1.2326
56438400	0.6661	0.3339	1.1472	-1.1472
63484800	0.6659	0.3341	1.1352	-1.1352
70540800	0.6573	0.3427	1.1234	-1.1234
77590400	0.6591	0.3409	1.1500	-1.1500
84640000	0.6425	0.3575	0.9846	-0.9846
91689600	0.6647	0.3353	1.1896	-1.1896
98739200	0.6254	0.3746	0.9236	-0.9236
105792000	0.6224	0.3776	0.9376	-0.9376
112841600	0.6076	0.3924	0.7900	-0.7900
119894400	0.6126	0.3874	0.8336	-0.8336
126947200	0.5937	0.4063	0.7256	-0.7256
134003200	0.6081	0.3919	0.8288	-0.8288
141049600	0.5888	0.4112	0.6582	-0.6582
148089600	0.5706	0.4294	0.5808	-0.5808
155132800	0.5850	0.4150	0.6912	-0.6912
162172800	0.5811	0.4189	0.6374	-0.6374
169209600	0.5702	0.4298	0.5752	-0.5752
176252800	0.5587	0.4413	0.5024	-0.5024
183292800	0.5487	0.4513	0.4384	-0.4384
190339200	0.5594	0.4406	0.5400	-0.5400
197379200	0.5582	0.4418	0.4986	-0.4986
204422400	0.5295	0.4705	0.2790	-0.2790
211468800	0.5368	0.4632	0.3500	-0.3500
218512000	0.5324	0.4676	0.3294	-0.3294
225555200	0.5255	0.4745	0.2998	-0.2998
232598400	0.5287	0.4713	0.3012	-0.3012
239635200	0.5204	0.4796	0.2716	-0.2716
246684800	0.5247	0.4753	0.2668	-0.2668
253718400	0.5000	0.5000	0.1406	-0.1406
260768000	0.5220	0.4780	0.2436	-0.2436
267817600	0.5206	0.4794	0.2518	-0.2518
274854400	0.5055	0.4945	0.1402	-0.1402
281894400	0.5066	0.4934	0.1582	-0.1582
288944000	0.4970	0.5030	0.1036	-0.1036
295984000	0.5094	0.4906	0.1796	-0.1796
303030400	0.4891	0.5109	0.0438	-0.0438
310076800	0.4943	0.5057	0.0826	-0.0826
317126400	0.4856	0.5144	0.0214	-0.0214
324182400	0.4965	0.5035	0.0798	-0.0798
331228800	0.4905	0.5095	0.0526	-0.0526
338284800	0.4778	0.5222	-0.0242	0.0242
345340800	0.4746	0.5254	-0.0476	0.0476
352390400	0.4853	0.5147	0.0036	-0.0036
359443200	0.4756	0.5244	-0.0482	0.0482
366486400	0.4829	0.5171	0.0130	-0.0130
373539200	0.4795	0.5205	-0.0210	0.0210
380582400	0.4743	0.5257	-0.0550	0.0550
387628800	0.4786	0.5214	-0.0038	0.0038
394681600	0.4695	0.5305	-0.0878	0.0878
401731200	0.4723	0.5277	-0.0916	0.0916
408777600	0.4755	0.5245	-0.0460	0.0460
415824000	0.4817	0.5183	-0.0162	0.0162
422870400	0.4619	0.5381	-0.1496	0.1496
429926400	0.4632	0.5368	-0.1414	0.1414
436976000	0.4601	0.5399	-0.1542	0.1542
444022400	0.4692	0.5308	-0.1258	0.1258
451068800	0.4574	0.5426	-0.1668	0.1668
458121600	0.4677	0.5323	-0.0948	0.0948
465164800	0.4707	0.5293	-0.0896	0.0896
472217600	0.4623	0.5377	-0.1442	0.1442
479267200	0.4594	0.5406	-0.1698	0.1698
486313600	0.4528	0.5472	-0.2014	0.2014
493369600	0.4519	0.5481	-0.1760	0.1760
500419200	0.4470	0.5530	-0.2448	0.2448
507472000	0.4551	0.5449	-0.1790	0.1790
514518400	0.4505	0.5495	-0.2080	0.2080
521568000	0.4484	0.5516	-0.2206	0.2206
528614400	0.4443	0.5557	-0.2710	0.2710
535670400	0.4486	0.5514	-0.2214	0.2214
542723200	0.4390	0.5610	-0.2998	0.2998
549772800	0.4590	0.5410	-0.1618	0.1618
556825600	0.4357	0.5643	-0.3110	0.3110
563875200	0.4494	0.5506	-0.2268	0.2268
570928000	0.4403	0.5597	-0.2508	0.2508
577974400	0.4526	0.5474	-0.2038	0.2038
585024000	0.4632	0.5368	-0.1456	0.1456
592070400	0.4353	0.5647	-0.3104	0.3104
599126400	0.4524	0.5476	-0.1990	0.1990
606172800	0.4413	0.5587	-0.2716	0.2716
613219200	0.4381	0.5619	-0.2928	0.2928
620268800	0.4496	0.5504	-0.2546	0.2546
627321600	0.4346	0.5654	-0.3224	0.3224
634371200	0.4450	0.5550	-0.2874	0.2874
641417600	0.4401	0.5599	-0.2960	0.2960
648464000	0.4298	0.5702	-0.3716	0.3716
655513600	0.4368	0.5632	-0.3032	0.3032
662566400	0.4409	0.5591	-0.3104	0.3104
669603200	0.4473	0.5527	-0.2384	0.2384
676665600	0.4383	0.5617	-0.2986	0.2986
683712000	0.4245	0.5755	-0.3842	0.3842
690758400	0.4311	0.5689	-0.3420	0.3420
697804800	0.4354	0.5646	-0.3496	0.3496
704857600	0.4375	0.5625	-0.3224	0.3224
711900800	0.4403	0.5597	-0.3078	0.3078
718947200	0.4341	0.5659	-0.3490	0.3490
726003200	0.4298	0.5702	-0.3674	0.3674
733056000	0.4383	0.5617	-0.3264	0.3264
740102400	0.4269	0.5731	-0.4038	0.4038
747148800	0.4231	0.5769	-0.4196	0.4196
754201600	0.4346	0.5654	-0.3426	0.3426
761251200	0.4262	0.5738	-0.3802	0.3802
768300800	0.4302	0.5698	-0.3570	0.3570
775353600	0.4366	0.5634	-0.3156	0.3156
782403200	0.4335	0.5665	-0.3516	0.3516
789456000	0.4429	0.5571	-0.3246	0.3246
796502400	0.4296	0.5704	-0.3416	0.3416
803552000	0.4192	0.5808	-0.4210	0.4210
810608000	0.4179	0.5821	-0.4332	0.4332
817651200	0.4245	0.5755	-0.3910	0.3910
824700800	0.4272	0.5728	-0.3856	0.3856
831753600	0.4206	0.5794	-0.4176	0.4176
838806400	0.4260	0.5740	-0.4036	0.4036
845856000	0.4248	0.5752	-0.3814	0.3814
852912000	0.4166	0.5834	-0.4304	0.4304
859958400	0.4375	0.5625	-0.3428	0.3428
867008000	0.4177	0.5823	-0.4264	0.4264
874064000	0.4183	0.5817	-0.4262	0.4262
881116800	0.4316	0.5684	-0.3662	0.3662
888163200	0.4299	0.5701	-0.3710	0.3710
895216000	0.4225	0.5775	-0.4152	0.4152
902268800	0.4249	0.5751	-0.4036	0.4036
909318400	0.4216	0.5784	-0.4088	0.4088
916364800	0.4219	0.5781	-0.3952	0.3952
923420800	0.4224	0.5776	-0.3938	0.3938
930473600	0.4224	0.5776	-0.4090	0.4090
937520000	0.4218	0.5782	-0.3988	0.3988
944579200	0.4210	0.5790	-0.4218	0.4218
951625600	0.4311	0.5689	-0.3768	0.3768
958681600	0.4191	0.5809	-0.4506	0.4506
965734400	0.4221	0.5779	-0.4164	0.4164
972784000	0.4185	0.5815	-0.4202	0.4202
979827200	0.4251	0.5749	-0.4044	0.4044
986886400	0.4200	0.5800	-0.4318	0.4318
993942400	0.4251	0.5749	-0.4068	0.4068
1000985600	0.4233	0.5767	-0.3964	0.3964
1008041600	0.4165	0.5835	-0.4532	0.4532
1015088000	0.4152	0.5848	-0.4598	0.4598
1022140800	0.4185	0.5815	-0.4204	0.4204
1029193600	0.4236	0.5764	-0.4180	0.4180
1036240000	0.4184	0.5816	-0.4518	0.4518
1043292800	0.4195	0.5805	-0.4298	0.4298
1050348800	0.4240	0.5760	-0.3900	0.3900
1057398400	0.4246	0.5754	-0.4220	0.4220
1064454400	0.4178	0.5822	-0.4458	0.4458
1071507200	0.4083	0.5917	-0.4804	0.4804
1078553600	0.4172	0.5828	-0.4498	0.4498
1085616000	0.4127	0.5873	-0.4728	0.4728
1092659200	0.4129	0.5871	-0.4932	0.4932
1099715200	0.4196	0.5804	-0.4186	0.4186
1106774400	0.4189	0.5811	-0.4472	0.4472
1113824000	0.4191	0.5809	-0.4494	0.4494
1120876800	0.4137	0.5863	-0.4948	0.4948
1127929600	0.4146	0.5854	-0.4620	0.4620
1134979200	0.4279	0.5721	-0.4190	0.4190
1142038400	0.4111	0.5889	-0.4918	0.4918
1149088000	0.4134	0.5866	-0.4780	0.4780
1156140800	0.4077	0.5923	-0.4978	0.4978
1163196800	0.4182	0.5818	-0.4634	0.4634
1170243200	0.4105	0.5895	-0.5082	0.5082
1177299200	0.4161	0.5839	-0.4728	0.4728
1184348800	0.4275	0.5725	-0.4032	0.4032
1191401600	0.4129	0.5871	-0.5084	0.5084
1198464000	0.4194	0.5806	-0.4532	0.4532
1205513600	0.4149	0.5851	-0.4964	0.4964
1212563200	0.4109	0.5891	-0.4976	0.4976
1219612800	0.4068	0.5932	-0.5346	0.5346
1226668800	0.4115	0.5885	-0.5094	0.5094
1233721600	0.4139	0.5861	-0.4706	0.4706
1240768000	0.4082	0.5918	-0.5104	0.5104
1247824000	0.4143	0.5857	-0.4766	0.4766
1254883200	0.4043	0.5957	-0.5352	0.5352
1261926400	0.4105	0.5895	-0.4874	0.4874
1268982400	0.4088	0.5912	-0.4888	0.4888
1276041600	0.4023	0.5977	-0.5210	0.5210
1283091200	0.4185	0.5815	-0.4664	0.4664
1290150400	0.4021	0.5979	-0.5588	0.5588
1297196800	0.4100	0.5900	-0.4990	0.4990
1304249600	0.4045	0.5955	-0.5064	0.5064
1311305600	0.4003	0.5997	-0.5486	0.5486
1318355200	0.4041	0.5959	-0.5374	0.5374
1325411200	0.4087	0.5913	-0.5208	0.5208
1332464000	0.4081	0.5919	-0.5132	0.5132
1339520000	0.4070	0.5930	-0.5130	0.5130
1346521600	0.4099	0.5901	-0.5064	0.5064
1353584000	0.4165	0.5835	-0.4724	0.4724
1360633600	0.3995	0.6005	-0.5520	0.5520
1367692800	0.4055	0.5945	-0.5596	0.5596
1374755200	0.4023	0.5977	-0.5410	0.5410
1381814400	0.4006	0.5994	-0.5590	0.5590
1388883200	0.4066	0.5934	-0.5428	0.5428
1395942400	0.4084	0.5916	-0.5062	0.5062
1403004800	0.3961	0.6039	-0.5734	0.5734
1410060800	0.4042	0.5958	-0.5260	0.5260
1417126400	0.4011	0.5989	-0.5438	0.5438
1424188800	0.3979	0.6021	-0.5758	0.5758
1431244800	0.3951	0.6049	-0.5816	0.5816
1438307200	0.4046	0.5954	-0.5378	0.5378
1445366400	0.4053	0.5947	-0.5540	0.5540
1452428800	0.4021	0.5979	-0.5694	0.5694
1459491200	0.3994	0.6006	-0.5790	0.5790
1466544000	0.4001	0.5999	-0.5670	0.5670
1473603200	0.4013	0.5987	-0.5436	0.5436
1480665600	0.4019	0.5981	-0.5448	0.5448
1487721600	0.3945	0.6055	-0.5830	0.5830
1494784000	0.4021	0.5979	-0.5438	0.5438
1501846400	0.3948	0.6052	-0.5708	0.5708
1508902400	0.3943	0.6057	-0.5906	0.5906
1515968000	0.4010	0.5990	-0.5668	0.5668
1523020800	0.3925	0.6075	-0.6110	0.6110
1530076800	0.3965	0.6035	-0.5938	0.5938
1537139200	0.3990	0.6010	-0.5952	0.5952
1544198400	0.4001	0.5999	-0.5762	0.5762
1551264000	0.3948	0.6052	-0.6094	0.6094
1558320000	0.3956	0.6044	-0.5812	0.5812
1565376000	0.3915	0.6085	-0.6218	0.6218
1572435200	0.3980	0.6020	-0.5646	0.5646
1579491200	0.3887	0.6113	-0.6160	0.6160
1586553600	0.3915	0.6085	-0.6156	0.6156
1593616000	0.3936	0.6064	-0.6098	0.6098
1600675200	0.3973	0.6027	-0.5920	0.5920
1607731200	0.3966	0.6034	-0.5944	0.5944
1614793600	0.3935	0.6065	-0.6094	0.6094
1621846400	0.3915	0.6085	-0.6268	0.6268
1628915200	0.4003	0.5997	-0.5796	0.5796
1635968000	0.3974	0.6026	-0.5962	0.5962
1643030400	0.3932	0.6068	-0.6000	0.6000
1650089600	0.4015	0.5985	-0.5882	0.5882
1657152000	0.3992	0.6008	-0.5746	0.5746
1664214400	0.3991	0.6009	-0.5650	0.5650
1671267200	0.3918	0.6082	-0.6170	0.6170
1678326400	0.3882	0.6118	-0.6308	0.6308
1685382400	0.3969	0.6031	-0.5810	0.5810
1692438400	0.3993	0.6007	-0.5704	0.5704
1699500800	0.4078	0.5922	-0.5286	0.5286
1706556800	0.3957	0.6043	-0.5862	0.5862
1713616000	0.3936	0.6064	-0.5938	0.5938
1720672000	0.3939	0.6061	-0.6066	0.6066
1727728000	0.3897	0.6103	-0.6344	0.6344
1734790400	0.3954	0.6046	-0.6072	0.6072
1741846400	0.3971	0.6029	-0.5954	0.5954
1748905600	0.3928	0.6072	-0.6126	0.6126
1755958400	0.3965	0.6035	-0.5728	0.5728
1763027200	0.3881	0.6119	-0.6260	0.6260
1770080000	0.3851	0.6149	-0.6552	0.6552
1777139200	0.3890	0.6110	-0.6506	0.6506
1784201600	0.3821	0.6179	-0.6660	0.6660
1791267200	0.3755	0.6245	-0.7130	0.7130
1798326400	0.3847	0.6153	-0.6692	0.6692
1805385600	0.3882	0.6118	-0.6316	0.6316
1812451200	0.3816	0.6184	-0.6748	0.6748
1819504000	0.3893	0.6107	-0.6392	0.6392
1826572800	0.3887	0.6113	-0.6370	0.6370
1833632000	0.3956	0.6044	-0.6012	0.6012
1840691200	0.3866	0.6134	-0.6448	0.6448
1847756800	0.3876	0.6124	-0.6536	0.6536
1854812800	0.3896	0.6104	-0.6136	0.6136
1861868800	0.3880	0.6120	-0.6354	0.6354
1868934400	0.3896	0.6104	-0.6214	0.6214
1875993600	0.3897	0.6103	-0.6364	0.6364
1883056000	0.3864	0.6136	-0.6530	0.6530
1890115200	0.3872	0.6128	-0.6362	0.6362
1897177600	0.3984	0.6016	-0.5952	0.5952
1904233600	0.3947	0.6053	-0.6040	0.6040
1911296000	0.3934	0.6066	-0.6176	0.6176
1918355200	0.3854	0.6146	-0.6690	0.6690
1925417600	0.3857	0.6143	-0.6590	0.6590
1932470400	0.3820	0.6180	-0.6770	0.6770
1939536000	0.3914	0.6086	-0.6306	0.6306
1946595200	0.3826	0.6174	-0.6746	0.6746
1953648000	0.3897	0.6103	-0.6260	0.6260
1960710400	0.4016	0.5984	-0.5454	0.5454
1967772800	0.3928	0.6072	-0.6080	0.6080
1974835200	0.3922	0.6078	-0.6020	0.6020
1981888000	0.3872	0.6128	-0.6466	0.6466
1988950400	0.3869	0.6131	-0.6374	0.6374
1996012800	0.3903	0.6097	-0.6326	0.6326
2003072000	0.3937	0.6063	-0.6166	0.6166
2010137600	0.3947	0.6053	-0.5880	0.5880
2017203200	0.3891	0.6109	-0.6356	0.6356
2024268800	0.3823	0.6177	-0.6812	0.6812
